display_name,level,memo
テーマ事業協賛>,D,詳細情報取得失敗
会場整備参加・運営参加>,D,詳細情報取得失敗
未来社会ショーケース事業出展>,D,詳細情報取得失敗
広報・プロモーション参加>,D,詳細情報取得失敗
参加特典>,D,詳細情報取得失敗
中小企業・小規模企業者向け>,D,詳細情報取得失敗
修学旅行・校外学習>,D,詳細情報取得失敗
ジュニアEXPO2025教育プログラム>,D,詳細情報取得失敗
EXPO PLL Talks>,D,詳細情報取得失敗
EXPO COMMONS>,D,詳細情報取得失敗
協会情報>,D,詳細情報取得失敗
役員一覧>,D,詳細情報取得失敗
組織図>,D,詳細情報取得失敗
定款・規程>,D,詳細情報取得失敗
業務・財務情報>,D,詳細情報取得失敗
寄付>,D,詳細情報取得失敗
会場整備・交通アクセス情報>,D,詳細情報取得失敗
協会の契約情報>,D,詳細情報取得失敗
公式参加者によるパビリオン契約情報>,D,詳細情報取得失敗
,D,詳細情報取得失敗
日本語,D,詳細情報取得失敗
English,D,詳細情報取得失敗
简体中文,D,詳細情報取得失敗
繁體中文,D,詳細情報取得失敗
한국어,D,詳細情報取得失敗
Français,D,詳細情報取得失敗
Español,D,詳細情報取得失敗
公式ブログ,D,詳細情報取得失敗
公式SNS,D,詳細情報取得失敗
Goods & Shops,D,詳細情報取得失敗
グルメ,D,詳細情報取得失敗
会場マップ,D,詳細情報取得失敗
ユニバーサル情報,D,詳細情報取得失敗
アクセス,D,詳細情報取得失敗
マイチケットログイン,D,詳細情報取得失敗
お問い合わせ,D,詳細情報取得失敗
開催概要,D,詳細情報取得失敗
開催目的,D,詳細情報取得失敗
基本計画,D,詳細情報取得失敗
ステートメント,D,詳細情報取得失敗
デジタルウォレット,D,詳細情報取得失敗
キャッシュレス,D,詳細情報取得失敗
テーマウィーク,D,詳細情報取得失敗
持続可能性,D,詳細情報取得失敗
データ利活用,D,詳細情報取得失敗
公式キャラクター,D,詳細情報取得失敗
マスターライセンスオフィス,D,詳細情報取得失敗
オフィシャルオンラインストア,D,詳細情報取得失敗
デザインシステム,D,詳細情報取得失敗
ロゴマーク,D,詳細情報取得失敗
オフィシャルテーマソング,D,詳細情報取得失敗
アンバサダー,D,詳細情報取得失敗
シニアアドバイザー,D,詳細情報取得失敗
スペシャルサポーター,D,詳細情報取得失敗
プロデューサー,D,詳細情報取得失敗
海外パビリオン,D,詳細情報取得失敗
国内パビリオン,D,詳細情報取得失敗
シグネチャーパビリオン,D,詳細情報取得失敗
大屋根リング,D,詳細情報取得失敗
イベント情報,D,詳細情報取得失敗
関連イベント,D,詳細情報取得失敗
未来社会ショーケース,D,詳細情報取得失敗
スタンプラリー,D,詳細情報取得失敗
公式ブログ,D,詳細情報取得失敗
公式SNS,D,詳細情報取得失敗
公式アプリ情報,D,詳細情報取得失敗
グッズ＆ショップ,D,詳細情報取得失敗
グルメ,D,詳細情報取得失敗
ご来場の前にご確認ください,D,詳細情報取得失敗
会場情報,D,詳細情報取得失敗
アクセス,D,詳細情報取得失敗
会場マップ,D,詳細情報取得失敗
主な施設情報,D,詳細情報取得失敗
ユニバーサル情報,D,詳細情報取得失敗
EXPO 2025 Visitors,D,詳細情報取得失敗
パンフレット,D,詳細情報取得失敗
旅行情報,D,詳細情報取得失敗
公式観光ガイド（体験予約など）,D,詳細情報取得失敗
チケットインフォメーション,D,詳細情報取得失敗
紙チケット/引換券,D,詳細情報取得失敗
お知らせ,D,詳細情報取得失敗
プレスリリース,D,詳細情報取得失敗
活動報告,D,詳細情報取得失敗
ベストプラクティス,D,詳細情報取得失敗
Co-Design-Challenge,D,詳細情報取得失敗
TEAM EXPO 2025,D,詳細情報取得失敗
営業参加,D,詳細情報取得失敗
一般参加催事,D,詳細情報取得失敗
テーマウィーク協賛,D,詳細情報取得失敗
テーマ事業協賛,D,詳細情報取得失敗
会場整備参加・運営参加,D,詳細情報取得失敗
未来社会ショーケース事業出展,D,詳細情報取得失敗
広報・プロモーション参加,D,詳細情報取得失敗
参加特典,D,詳細情報取得失敗
中小企業・小規模企業者向け,D,詳細情報取得失敗
修学旅行・校外学習,D,詳細情報取得失敗
ジュニアEXPO2025教育プログラム,D,詳細情報取得失敗
EXPO PLL Talks,D,詳細情報取得失敗
EXPO COMMONS,D,詳細情報取得失敗
協会情報,D,詳細情報取得失敗
役員一覧,D,詳細情報取得失敗
組織図,D,詳細情報取得失敗
定款・規程,D,詳細情報取得失敗
業務・財務情報,D,詳細情報取得失敗
寄付,D,詳細情報取得失敗
会場整備・交通アクセス情報,D,詳細情報取得失敗
協会の契約情報,D,詳細情報取得失敗
公式参加者によるパビリオン契約情報,D,詳細情報取得失敗
,D,詳細情報取得失敗
,D,詳細情報取得失敗
,D,詳細情報取得失敗
,D,詳細情報取得失敗
開催概要,D,詳細情報取得失敗
開催目的,D,詳細情報取得失敗
基本計画,D,詳細情報取得失敗
ステートメント,D,詳細情報取得失敗
デジタルウォレット,D,詳細情報取得失敗
キャッシュレス,D,詳細情報取得失敗
テーマウィーク,D,詳細情報取得失敗
持続可能性,D,詳細情報取得失敗
データ利活用,D,詳細情報取得失敗
公式キャラクター,D,詳細情報取得失敗
マスターライセンスオフィス,D,詳細情報取得失敗
オフィシャルオンラインストア,D,詳細情報取得失敗
デザインシステム,D,詳細情報取得失敗
ロゴマーク,D,詳細情報取得失敗
オフィシャルテーマソング,D,詳細情報取得失敗
アンバサダー,D,詳細情報取得失敗
シニアアドバイザー,D,詳細情報取得失敗
スペシャルサポーター,D,詳細情報取得失敗
プロデューサー,D,詳細情報取得失敗
海外パビリオン,D,詳細情報取得失敗
国内パビリオン,D,詳細情報取得失敗
シグネチャーパビリオン,D,詳細情報取得失敗
大屋根リング,D,詳細情報取得失敗
イベント情報,D,詳細情報取得失敗
関連イベント,D,詳細情報取得失敗
未来社会ショーケース,D,詳細情報取得失敗
スタンプラリー,D,詳細情報取得失敗
公式ブログ,D,詳細情報取得失敗
公式SNS,D,詳細情報取得失敗
公式アプリ情報,D,詳細情報取得失敗
グッズ＆ショップ,D,詳細情報取得失敗
グルメ,D,詳細情報取得失敗
ご来場の前にご確認ください,D,詳細情報取得失敗
会場情報,D,詳細情報取得失敗
アクセス,D,詳細情報取得失敗
会場マップ,D,詳細情報取得失敗
主な施設情報,D,詳細情報取得失敗
ユニバーサル情報,D,詳細情報取得失敗
EXPO 2025 Visitors,D,詳細情報取得失敗
パンフレット,D,詳細情報取得失敗
旅行情報,D,詳細情報取得失敗
公式観光ガイド（体験予約など）,D,詳細情報取得失敗
チケットインフォメーション,D,詳細情報取得失敗
紙チケット/引換券,D,詳細情報取得失敗
お知らせ,D,詳細情報取得失敗
プレスリリース,D,詳細情報取得失敗
活動報告,D,詳細情報取得失敗
ベストプラクティス,D,詳細情報取得失敗
Co-Design-Challenge,D,詳細情報取得失敗
TEAM EXPO 2025,D,詳細情報取得失敗
営業参加,D,詳細情報取得失敗
一般参加催事,D,詳細情報取得失敗
テーマウィーク協賛,D,詳細情報取得失敗
テーマ事業協賛,D,詳細情報取得失敗
会場整備参加・運営参加,D,詳細情報取得失敗
未来社会ショーケース事業出展,D,詳細情報取得失敗
広報・プロモーション参加,D,詳細情報取得失敗
参加特典,D,詳細情報取得失敗
中小企業・小規模企業者向け,D,詳細情報取得失敗
修学旅行・校外学習,D,詳細情報取得失敗
ジュニアEXPO2025教育プログラム,D,詳細情報取得失敗
EXPO PLL Talks,D,詳細情報取得失敗
EXPO COMMONS,D,詳細情報取得失敗
協会情報,D,詳細情報取得失敗
役員一覧,D,詳細情報取得失敗
組織図,D,詳細情報取得失敗
定款・規程,D,詳細情報取得失敗
業務・財務情報,D,詳細情報取得失敗
寄付,D,詳細情報取得失敗
会場整備・交通アクセス情報,D,詳細情報取得失敗
協会の契約情報,D,詳細情報取得失敗
公式参加者によるパビリオン契約情報,D,詳細情報取得失敗
お問い合わせ,D,詳細情報取得失敗
個人情報保護方針,D,詳細情報取得失敗
